#width: 32
p d birth death 
2 1 8.43405 8.42104
2 1 8.55172 8.41866
2 1 8.41603 8.41481
2 1 8.66534 8.40093
2 1 8.80132 8.39773
2 1 8.48048 8.38942
2 1 8.75735 8.38905
2 1 8.38629 8.38412
2 1 8.47934 8.37842
2 1 8.69039 8.37812
2 1 8.51148 8.37062
2 1 8.41693 8.364
2 1 8.41811 8.36012
2 1 8.6382 8.3552
2 1 8.39662 8.34809
2 1 8.58242 8.34809
2 1 8.37148 8.34694
2 1 8.37162 8.34525
2 1 8.42319 8.34487
2 1 8.34747 8.34061
2 1 8.42478 8.33146
2 1 8.33684 8.32557
2 1 8.47721 8.32484
2 1 8.32994 8.31058
2 1 8.45399 8.30806
2 1 8.32762 8.30752
2 1 8.85172 8.30536
2 1 8.41898 8.30298
2 1 8.59149 8.29961
2 1 8.37061 8.29739
2 1 8.79584 8.29726
2 1 8.44089 8.29294
2 1 8.44192 8.28734
2 1 8.34058 8.28268
2 1 8.40757 8.28099
2 1 8.37435 8.28065
2 1 8.43787 8.27759
2 1 9.04642 8.27695
2 1 8.90014 8.27592
2 1 8.69195 8.26889
2 1 8.28567 8.26056
2 1 8.46107 8.25987
2 1 8.26916 8.25426
2 1 8.29702 8.25142
2 1 8.26598 8.25057
2 1 8.24276 8.24197
2 1 8.24498 8.24128
2 1 8.34608 8.23842
2 1 8.47406 8.2314
2 1 8.25412 8.2314
2 1 8.31129 8.22427
2 1 8.27202 8.22353
2 1 8.31761 8.22115
2 1 8.34806 8.2166
2 1 8.52615 8.21392
2 1 8.39554 8.21104
2 1 8.24132 8.20666
2 1 8.30826 8.20474
2 1 8.45434 8.20179
2 1 8.22152 8.19926
2 1 8.23645 8.19296
2 1 8.28043 8.17851
2 1 8.25771 8.1722
2 1 8.175 8.17017
2 1 8.19053 8.17017
2 1 8.20233 8.16723
2 1 8.16857 8.16639
2 1 8.15858 8.15828
2 1 8.16291 8.15828
2 1 8.47305 8.15727
2 1 8.15746 8.15612
2 1 8.29442 8.15213
2 1 8.31661 8.14987
2 1 8.16411 8.14945
2 1 8.19966 8.14945
2 1 8.17271 8.14892
2 1 8.39774 8.14182
2 1 8.2509 8.14148
2 1 8.1577 8.13221
2 1 8.1519 8.12932
2 1 8.17704 8.12721
2 1 8.17137 8.12617
2 1 8.23773 8.12593
2 1 8.16345 8.12373
2 1 8.18034 8.12373
2 1 8.23563 8.11671
2 1 8.12996 8.11574
2 1 8.16411 8.11523
2 1 8.29571 8.10663
2 1 8.21673 8.10483
2 1 8.91035 8.1031
2 1 8.11931 8.10298
2 1 8.09971 8.09511
2 1 8.18796 8.09421
2 1 8.12366 8.09239
2 1 8.16094 8.08539
2 1 8.11772 8.08522
2 1 8.2006 8.08368
2 1 8.1549 8.0818
2 1 8.17005 8.08016
2 1 8.17466 8.07999
2 1 8.08153 8.07748
2 1 8.3921 8.07705
2 1 8.28442 8.07627
2 1 8.07821 8.07419
2 1 8.09426 8.06907
2 1 8.08699 8.06779
2 1 8.07675 8.06779
2 1 8.17925 8.06748
2 1 8.09497 8.06697
2 1 8.16487 8.06572
2 1 8.06477 8.06399
2 1 8.06496 8.06312
2 1 8.06839 8.06312
2 1 8.24072 8.06243
2 1 8.11915 8.06214
2 1 8.06839 8.06203
2 1 8.15746 8.06065
2 1 8.06974 8.06031
2 1 8.12784 8.05121
2 1 8.11642 8.0505
2 1 8.07308 8.0486
2 1 8.07149 8.04848
2 1 8.08984 8.04845
2 1 8.18445 8.04813
2 1 8.06056 8.04577
2 1 8.1513 8.04327
2 1 8.07163 8.04247
2 1 8.30441 8.04183
2 1 8.22398 8.04157
2 1 8.08417 8.03568
2 1 8.0685 8.0344
2 1 8.09754 8.03304
2 1 8.10427 8.03304
